PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	ZT1_1_BAT	ZT1_2_BAT	ZT1_3_BAT	ZT5_1_BAT	ZT5_2_BAT	ZT5_3_BAT	ZT9_1_BAT	ZT9_2_BAT	ZT9_3_BAT	ZT13_1_BAT	ZT13_2_BAT	ZT13_3_BAT	ZT17_1_BAT	ZT17_2_BAT	ZT17_3_BAT	ZT21_1_BAT	ZT21_2_BAT	ZT21_3_BAT	LAG	BH.Q	ZT_bin
chr3-1	chr3	5860617	5860767	+	458.6	0	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-284444	NM_008994	19302	Mm.132336	NM_008994	ENSMUSG00000040374	Pex2	D3Ertd138e|PAF-1|PMP35|Pxmp3	peroxisomal biogenesis factor 2	protein-coding	611	1136	2263	1201	1311	2010	1778	1715	965	1125	1318	1354	1185	2087	3036	1628	1989	2647	20	0.0377238244831057	ZT21
chr11-83	chr11	109011655	109011805	+	247.3	0	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	91381	NM_015732	12006	Mm.71710	NM_015732	ENSMUSG00000000142	Axin2	Axi1|Axil|Conductin	axin 2	protein-coding	337	577	1175	605	665	1055	1013	935	587	596	752	651	701	1232	1579	969	1064	1335	20	0.0310391655363696	ZT21
chr16-28	chr16	57391504	57391654	+	232.7	0	intron (NM_001040397, intron 1 of 4)	LSU-rRNA_Hsa|rRNA|rRNA	38302	NM_001040397	78749	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding	300	556	1127	578	667	977	952	874	532	574	678	624	612	1141	1436	799	1086	1385	20	0.0247913445279724	ZT21
chr2-7	chr2	73386696	73386846	+	231	0	promoter-TSS (NM_001190297)	promoter-TSS (NM_001190297)	-291	NM_001276444	68526	Mm.451014	NM_001080707	ENSMUSG00000041762	Gpr155	1110017O10Rik|DEPDC3|F730029F15Rik|PGR22	G protein-coupled receptor 155	protein-coding	502	675	995	700	705	1169	1148	986	589	599	689	579	611	949	1462	757	855	816	2	0.0247913445279724	ZT1
chr12-1	chr12	40223267	40223417	+	228.9	0	promoter-TSS (NR_035459)	promoter-TSS (NR_035459)	-22	NR_045157	629820	Mm.435540	NR_045157	ENSMUSG00000035983	Gm7008	EG629820	predicted gene 7008	ncRNA	510	591	1032	697	814	1203	1125	984	558	607	687	552	569	930	1421	746	800	824	4	0.0165323918984296	ZT5
chr1-2	chr1	177796555	177796705	+	226.8	0	promoter-TSS (NM_007422)	promoter-TSS (NM_007422)	-121	NM_007422	11566	Mm.338021	NM_007422	ENSMUSG00000015961	Adss	AI314886|AS|Adss2	adenylosuccinate synthetase, non muscle	protein-coding	446	609	984	696	740	1182	1206	968	569	616	666	602	557	922	1330	708	842	875	4	0.091432700055119	ZT5
chr14-1	chr14	67715761	67715911	+	221.7	0	promoter-TSS (NM_001110162)	promoter-TSS (NM_001110162)	5	NM_175384	108912	Mm.33831	NM_175384	ENSMUSG00000048922	Cdca2	2610311M19Rik|AI586158	cell division cycle associated 2	protein-coding	508	672	968	628	709	1015	1120	923	542	532	659	558	555	935	1473	730	771	893	0	0.0649073511596943	ZT1
chr2-2	chr2	25983392	25983542	+	218.6	0	promoter-TSS (NM_001276361)	promoter-TSS (NM_001276361)	-185	NM_001276361	227634	Mm.36834	NM_001115076	ENSMUSG00000026933	Camsap1	9530003A05Rik|C77823|PRO2405	calmodulin regulated spectrin-associated protein 1	protein-coding	476	594	951	651	720	1110	1146	939	566	604	649	523	564	864	1300	707	800	828	4	0.0546578553591281	ZT5
chr10-1	chr10	80702155	80702305	+	217.3	0	promoter-TSS (NM_027829)	promoter-TSS (NM_027829)	-410	NM_172457	208228	Mm.49309	NM_172457	ENSMUSG00000003348	Mob3a	5330417K06Rik|A630029F06|AV218468|Mobkl2a	MOB kinase activator 3A	protein-coding	518	653	897	653	708	1054	1114	962	540	574	652	562	554	857	1299	713	783	816	2	0.0649073511596943	ZT1
chr5-14	chr5	135149451	135149601	+	212.6	0	promoter-TSS (NM_013763)	promoter-TSS (NM_013763)	-185	NM_013763	27368	Mm.36746	NM_013763	ENSMUSG00000005374	Tbl2	C76179|WS-bTRP	transducin (beta)-like 2	protein-coding	460	620	898	621	700	1089	1070	884	537	552	667	542	527	895	1280	691	784	789	2	0.0310391655363696	ZT1
chr9-212	chr9	123461917	123462067	+	204.1	0	3' UTR (NM_001348167, exon 21 of 21)	3' UTR (NM_001348167, exon 21 of 21)	-16709	NM_013860	29806	Mm.10987	NM_013860	ENSMUSG00000025239	Limd1	AW822033|D9Ertd192e	LIM domains containing 1	protein-coding	286	517	915	492	544	807	805	831	422	500	565	583	566	936	1502	828	916	1048	20	0.0132923364728598	ZT21
chr14-11	chr14	18239211	18239361	+	203	0	promoter-TSS (NM_011584)	promoter-TSS (NM_011584)	-180	NM_011584	353187	Mm.26587	NM_011584	ENSMUSG00000021775	Nr1d2	RVR|Rev-erb	nuclear receptor subfamily 1, group D, member 2	protein-coding	392	587	844	631	652	1106	1104	930	529	605	656	498	465	837	1243	583	658	676	6	0.0165323918984296	ZT5
chr17-8	chr17	72836277	72836427	+	202.3	0	promoter-TSS (NM_027166)	promoter-TSS (NM_027166)	-276	NM_027166	383295	Mm.277533	NM_027166	ENSMUSG00000039770	Ypel5	2310076K21Rik|CGI-127	yippee like 5	protein-coding	458	615	889	582	659	984	1020	877	509	508	607	485	504	888	1324	659	679	704	2	0.077236599220546	ZT1
chr5-113	chr5	146261168	146261318	+	196.8	0	intron (NM_153599, intron 2 of 12)	LSU-rRNA_Hsa|rRNA|rRNA	29993	NM_153599	264064	Mm.260576	NM_153599	ENSMUSG00000029635	Cdk8	-	cyclin-dependent kinase 8	protein-coding	257	480	953	508	526	824	802	685	420	484	588	521	573	977	1299	650	880	1171	20	0.010917051581423	ZT21
chr9-8	chr9	66795820	66795970	+	194	0	promoter-TSS (NM_177583)	promoter-TSS (NM_177583)	-472	NM_177583	208117	Mm.41291	NM_177583	ENSMUSG00000032375	Aph1b	2310057K14Rik|Aph1c	aph1 homolog B, gamma secretase subunit	protein-coding	432	532	828	616	623	965	972	878	483	527	581	473	495	775	1224	647	690	673	4	0.0377238244831057	ZT5
chr4-5	chr4	155223308	155223458	+	191.7	0	promoter-TSS (NM_011385)	promoter-TSS (NM_011385)	-848	NM_001357191	20481	Mm.28520	NM_011385	ENSMUSG00000029050	Ski	2310012I02Rik|2610001A11Rik|AA062172|AA589460|BC004088	ski sarcoma viral oncogene homolog (avian)	protein-coding	398	530	949	675	697	928	1069	788	531	531	620	446	430	808	1109	537	610	616	6	0.0247913445279724	ZT5
chr7-6	chr7	25390136	25390286	+	189.8	0	promoter-TSS (NM_001039507)	promoter-TSS (NM_001039507)	-99	NM_001039507	16890	Mm.158548	NM_010719	ENSMUSG00000003123	Lipe	4933403G17Rik|HSL	lipase, hormone sensitive	protein-coding	415	552	830	584	601	917	997	787	479	523	589	481	478	733	1162	682	668	675	4	0.091432700055119	ZT5
chr14-3	chr14	61439953	61440103	+	189	0	promoter-TSS (NM_008466)	promoter-TSS (NM_008466)	-81	NM_008466	16648	Mm.25548	NM_008466	ENSMUSG00000021929	Kpna3	IPOA4	karyopherin (importin) alpha 3	protein-coding	381	542	865	563	650	1009	946	791	504	495	545	493	495	764	1157	598	623	677	4	0.0310391655363696	ZT5
chr6-3	chr6	113306500	113306650	+	187.5	0	promoter-TSS (NM_001282126)	promoter-TSS (NM_001282126)	-562	NM_030178	78783	Mm.356059	NM_030178	ENSMUSG00000001632	Brpf1	4833438B11Rik|4930540D11Rik|Brpf2	bromodomain and PHD finger containing, 1	protein-coding	419	521	865	582	561	954	925	816	450	499	590	465	454	742	1204	589	689	677	2	0.0452500717492719	ZT1
chr13-2	chr13	48546573	48546723	+	186.3	0	Intergenic	CpG	-8376	NR_029725	387244	NA	NR_029725	ENSMUSG00000065421	Mirlet7a-1	Let-7a|Mirnlet7a|Mirnlet7a-1|let-7a-1	microRNA let7a-1	ncRNA	430	538	784	549	579	948	923	857	431	514	516	468	466	726	1203	608	676	710	2	0.0649073511596943	ZT1
chr9-7	chr9	21546559	21546709	+	185.4	0	promoter-TSS (NM_021531)	promoter-TSS (NM_021531)	-260	NM_021531	59035	Mm.178115	NM_021531	ENSMUSG00000032185	Carm1	Prmt4	coactivator-associated arginine methyltransferase 1	protein-coding	409	530	792	588	607	950	940	783	465	533	572	463	442	748	1114	569	658	704	4	0.0206133492264304	ZT5
chr3-10	chr3	142882175	142882325	+	185.1	0	promoter-TSS (NM_178654)	promoter-TSS (NM_178654)	-245	NR_152127	320229	Mm.187582	NR_152127	NA	9530052C20Rik	-	RIKEN cDNA 9530052C20 gene	ncRNA	388	529	821	592	604	991	924	819	464	465	527	477	463	758	1085	636	660	646	4	0.00873811946535779	ZT5
chr10-5	chr10	80399563	80399713	+	184.4	0	promoter-TSS (NM_001306143)	promoter-TSS (NM_001306143)	-107	NM_001306143	17192	Mm.7142	NM_013595	ENSMUSG00000035478	Mbd3	AI181826|AU019209	methyl-CpG binding domain protein 3	protein-coding	422	562	807	519	565	938	989	804	447	468	545	471	452	762	1089	625	642	697	2	0.0165323918984296	ZT1
